Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,028,209",-,-,"$822,028,209",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,Godzilla vs. Kong,"$427,170,658","$95,070,658",22.3%,"$332,100,000",77.7%
4,A Writer's Odyssey,"$149,528,951","$133,527",<0.1%,"$149,395,424",99.9%
5,Impasse,"$147,201,280","$107,364",<0.1%,"$147,093,916",99.9%
6,Sister,"$128,256,916",-,-,"$128,256,916",100%
7,My Love,"$113,000,000",-,-,"$113,000,000",100%
8,Tom and Jerry,"$111,211,502","$45,211,502",40.7%,"$66,000,000",59.3%
9,Raya and the Last Dragon,"$107,772,061","$46,107,330",42.8%,"$61,664,731",57.2%
10,Endgame,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
11,Boonie Bears: The Wild Life,"$77,725,611",-,-,"$77,725,611",100%
12,Mortal Kombat,"$76,706,225","$39,906,225",52%,"$36,800,000",48%
13,Evangelion: 3.0+1.0 Thrice Upon a Time,"$74,278,336",-,-,"$74,278,336",100%
14,Detective Conan: The Scarlet Bullet,"$64,576,067",-,-,"$64,576,067",100%
15,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
16,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
17,Wrath of Man,"$55,962,718","$14,562,718",26%,"$41,400,000",74%
18,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
19,Nobody,"$45,380,970","$25,280,970",55.7%,"$20,100,000",44.3%
20,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
21,I Fell in Love Like A Flower Bouquet,"$34,422,973",-,-,"$34,422,973",100%
22,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
23,Home Sweet Home,"$32,106,931",-,-,"$32,106,931",100%
24,Once Upon a Time in Hong Kong,"$31,940,412",-,-,"$31,940,412",100%
25,The Little Things,"$29,844,012","$15,244,012",51.1%,"$14,600,000",48.9%
26,Master,"$28,692,230",-,-,"$28,692,230",100%
27,The Last Warrior: Root of Evil,"$28,354,705",-,-,"$28,354,705",100%
28,The Unholy,"$26,284,060","$14,784,060",56.2%,"$11,500,000",43.8%
29,The Marksman,"$22,488,491","$15,566,093",69.2%,"$6,922,398",30.8%
30,Chaos Walking,"$21,887,908","$13,287,908",60.7%,"$8,600,000",39.3%
31,Rurouni Kenshin: Final Chapter Part I - The Final,"$21,300,000",-,-,"$21,300,000",100%
32,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
33,Peter Rabbit 2: The Runaway,"$21,100,000",-,-,"$21,100,000",100%
34,Bo Gia,"$17,129,742",-,-,"$17,129,742",100%
35,The Dry,"$17,051,620",-,-,"$17,051,620",100%
36,Gintama: The Final,"$16,971,401",-,-,"$16,971,401",100%
37,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
38,Man in Love,"$13,300,000",-,-,"$13,300,000",100%
39,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
40,Minari,"$13,000,265","$2,964,816",22.8%,"$10,035,449",77.2%
41,Monkey King Reborn,"$13,000,000",-,-,"$13,000,000",100%
42,Krack,"$10,442,916",-,-,"$10,442,916",100%
43,The Courier,"$10,314,593","$6,474,322",62.8%,"$3,840,271",37.2%
44,Meitantei Conan: Hiiro no fuzai shômei,"$10,308,627",-,-,"$10,308,627",100%
